TransactionAmount,PreviousTransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,AmountBin,AgeBin,Target
14.09,680,1,36,0,70.0,0,81.0,1.0,5112.21,105,1,1,3
376.24,1178,1,15,0,68.0,0,141.0,1.0,13758.91,192,2,1,3
126.29,1262,1,23,2,19.0,3,56.0,1.0,1122.35,41,1,2,2
184.5,818,1,33,2,26.0,3,25.000000000000004,1.0,8569.06,163,1,2,3
92.15,635,1,28,0,18.0,3,172.0,1.0,781.68,13,1,2,3
7.08,306,0,39,0,37.0,0,139.0,1.0,13316.71,226,1,2,0
171.42,837,0,16,1,67.0,2,291.0,1.0,2796.24,271,1,1,3
106.23,557,0,11,1,51.0,1,86.0,1.0,9095.14,290,1,0,0
815.96,610,1,26,0,55.0,0,120.0,1.0,1021.8800000000001,9,0,0,0
17.78,516,0,0,2,52.0,1,59.00000000000001,1.0,7599.5199999999995,22,1,0,0
190.02,234,1,22,2,21.0,3,173.0,1.0,1528.81,49,1,2,0
494.52,1037,0,23,1,24.0,3,111.0,1.0,1620.02,135,2,2,3
781.76,2173,1,22,0,26.0,3,123.0,1.0,189.69,43,0,2,1
166.99,283,1,21,2,18.0,3,134.0,1.0,299.93,226,1,2,0
465.45,2354,1,10,0,36.0,1,129.0,1.0,3465.54,355,2,2,1
555.8,2031,0,2,1,19.0,3,158.0,1.0,1131.26,72,2,2,1
492.93,2367,1,8,2,39.0,1,234.0,1.0,5109.97,327,2,0,1
18.68,353,0,0,1,59.0,2,106.0,1.0,7948.369999999999,337,1,0,0
71.48,1050,0,8,2,18.0,3,169.0,1.0,6568.59,177,1,2,3
59.32,413,1,20,1,71.0,2,37.99999999999999,1.0,5750.89,181,1,1,0
85.77,1479,1,19,1,38.0,0,93.0,1.0,9146.19,110,1,2,2
52.2,1029,1,1,2,39.0,1,120.0,1.0,8974.93,38,1,0,3
145.54,436,1,33,2,21.0,3,96.0,1.0,1930.96,46,1,2,0
7.49,1979,0,15,2,65.0,2,276.0,1.0,3634.67,201,1,1,1
40.32,601,1,25,1,37.0,1,95.0,1.0,2686.52,335,1,2,0
127.45,160,1,19,2,44.0,0,197.0,1.0,1772.06,298,1,0,0
56.17,1753,1,11,1,27.0,3,283.0,1.0,1351.69,127,1,2,2
28.31,1296,0,24,2,59.0,0,20.0,1.0,8334.47,174,1,0,2
59.12,224,1,3,0,29.0,0,257.0,1.0,9823.64,35,1,2,0
877.81,505,1,20,2,22.0,3,150.0,1.0,399.0,87,0,2,0
255.26,2019,0,37,1,45.0,0,50.00000000000001,1.0,14815.87,267,1,0,1
124.76,1924,1,39,1,49.0,1,45.0,1.0,5764.72,0,1,0,1
78.13,2190,1,25,1,26.0,3,145.0,1.0,900.61,354,1,2,1
335.63,161,1,28,2,55.0,2,215.99999999999997,1.0,1019.39,69,2,0,0
328.47,1393,1,35,0,63.0,2,119.0,1.0,4323.66,68,2,1,2
34.02,53,1,30,2,38.0,0,18.999999999999996,1.0,14214.48,321,1,2,0
241.42000000000002,735,0,5,2,57.0,0,116.00000000000001,1.0,13357.02,160,1,0,3
55.32,684,1,40,0,19.0,3,117.0,1.0,241.79000000000002,100,1,2,3
304.31,1358,1,21,1,27.0,3,33.0,1.0,868.61,210,2,2,2
435.27,1854,1,6,1,74.0,2,90.0,1.0,4673.28,288,2,1,2
164.49,2359,1,3,1,26.0,3,75.0,1.0,1509.27,250,1,2,1
510.23999999999995,1869,1,28,2,19.0,3,105.0,1.0,781.7,311,2,2,2
626.9,2233,1,10,2,26.0,3,138.0,1.0,265.51,61,0,2,1
22.01,578,0,34,2,41.0,1,175.0,1.0,1335.09,8,1,0,0
425.34,284,0,18,2,69.0,2,121.0,1.0,3907.5399999999995,44,2,1,0
424.56,355,1,29,2,51.0,1,264.0,1.0,5183.85,360,2,0,0
85.43,1033,1,41,1,67.0,0,145.0,1.0,14904.9,22,1,1,3
169.5,1666,1,36,1,28.0,3,142.0,1.0,918.8799999999999,155,1,2,2
104.63,603,1,29,0,62.0,2,90.0,1.0,4477.78,258,1,1,0
316.95,1415,1,23,1,25.0,3,83.0,1.0,1324.03,172,2,2,2
60.540000000000006,2366,0,8,1,57.0,2,52.00000000000001,1.0,3534.93,214,1,0,1
292.56,446,0,9,1,68.0,2,61.00000000000001,1.0,4638.37,86,1,1,0
386.52,1054,1,16,1,48.0,1,28.0,1.0,5630.61,46,2,0,3
112.07,1833,1,18,1,23.0,3,51.00000000000001,1.0,930.3,313,1,2,2
568.52,1864,1,16,0,46.0,1,151.99999999999997,1.0,5499.91,360,2,0,2
349.64,2091,1,19,2,48.0,1,226.0,1.0,6651.62,106,2,0,1
601.4,984,0,30,1,56.0,1,104.0,1.0,8458.29,98,2,0,3
5.77,2057,1,5,2,50.0,0,123.99999999999999,1.0,13988.12,308,1,0,1
201.33,602,0,26,1,42.0,1,186.0,1.0,2585.07,317,1,0,0
298.42,756,1,16,1,56.0,2,225.0,1.0,3014.75,229,1,0,3
521.06,721,1,0,1,25.0,3,128.0,1.0,1951.42,346,2,2,3
117.28,259,0,2,2,60.0,1,16.0,1.0,3665.77,48,1,1,0
